#1:iter	2:compliance	3:duration	4:volume	5:physical_volume	6:physical_greyness	7:nObj
88 	0.000750072 	0.09 	0.199975 	0.147195 	0.0160781 	102
89 	0.000750086 	0.075 	0.199895 	0.147061 	0.0161106 	103
90 	0.000750085 	0.175 	0.199948 	0.147065 	0.0161135 	107
91 	0.000750059 	0.091 	0.199974 	0.147109 	0.016195 	109
92 	0.000749972 	0.071 	0.199975 	0.146732 	0.0164957 	110
93 	0.000749978 	0.068 	0.19996 	0.146702 	0.0165406 	111
94 	0.00074983 	0.072 	0.199982 	0.147417 	0.01686 	112
95 	0.000749752 	0.077 	0.199981 	0.147748 	0.016971 	113
96 	0.000749182 	0.078 	0.19998 	0.149663 	0.0164923 	114
97 	0.000749054 	0.075 	0.199979 	0.150107 	0.0169231 	115
98 	0.00074904 	0.066 	0.19998 	0.150109 	0.0169135 	116
99 	0.000748888 	0.166 	0.199981 	0.150161 	0.016708 	120
100 	0.000748506 	0.087 	0.199982 	0.150569 	0.0157011 	121
101 	0.000748343 	0.071 	0.199982 	0.151466 	0.0144933 	122
102 	0.000748238 	0.077 	0.199981 	0.152127 	0.0143709 	123
103 	0.000748347 	0.068 	0.199979 	0.152103 	0.0152222 	124
104 	0.000748336 	0.07 	0.199979 	0.152546 	0.0156181 	125
105 	0.000748315 	0.076 	0.199979 	0.152732 	0.0160709 	126
106 	0.000748222 	0.069 	0.199979 	0.153371 	0.0173543 	127
107 	0.000748243 	0.073 	0.199979 	0.153353 	0.0175867 	128
108 	0.000748212 	0.072 	0.199979 	0.153561 	0.0179634 	129
109 	0.000748112 	0.073 	0.199979 	0.153917 	0.0180871 	130
110 	0.00074834 	0.066 	0.199979 	0.153003 	0.019163 	131
111 	0.000748168 	0.068 	0.199979 	0.154113 	0.0188 	132
112 	0.000748007 	0.069 	0.19998 	0.154925 	0.018548 	133
113 	0.000747941 	0.092 	0.19998 	0.15518 	0.0189106 	134
